Trip_ID,policyholder_id,vin,Start_Time,End_Time,Start_Location_Lat,Start_Location_Lon,Time_of_Day_Category,Duration_Min,Distance_Miles,Peak_High_Speed,Average_Speed,Peak_Low_Speed,Max_Speed_Limit_Exceeded,Sudden_Braking_Count,Rapid_Acceleration_Count,Harsh_Cornering_Count,Speeding_Incidents,Safety_Score,Braking_Index,Acceleration_Index,Trip_Risk_Level
53_109291_POL4050_1492674000_0001,53,106HGBH41JXMN109291,4/20/2017 7:40,4/20/2017 7:59,36.511487,-95.516896,Morning,19.63,15.06,73.43,46.02,3.25,7.96,4,4,5,4,59.2,0.61,0.46,Medium
53_109291_POL4050_1502149800_0002,53,106HGBH41JXMN109291,8/7/2017 23:50,8/8/2017 0:37,33.555188,-118.600564,Night,47.42,43.93,70.17,55.58,15.44,13.75,7,2,5,5,62.67,0.62,0.43,Medium
53_109291_POL4050_1498001280_0003,53,106HGBH41JXMN109291,6/20/2017 23:28,6/21/2017 0:21,42.055149,-113.727025,Night,53.7,51.12,76.47,57.12,16.3,14.04,3,7,4,5,71.53,0.45,0.45,Medium
53_109291_POL4050_1510904700_0004,53,106HGBH41JXMN109291,11/17/2017 7:45,11/17/2017 8:31,41.459884,-107.182613,Morning,46.62,38.58,68.3,49.65,4.12,9.95,3,3,4,5,59.51,0.4,0.47,Medium
53_109291_POL4050_1485624780_0005,53,106HGBH41JXMN109291,1/28/2017 17:33,1/28/2017 18:09,45.456041,-102.169253,Evening,36.99,28.22,69.48,45.77,9.28,13.96,6,2,3,2,72.85,0.6,0.4,Medium
54_109292_POL4052_1539906840_0001,54,107HGBH41JXMN109292,10/18/2018 23:54,10/19/2018 0:11,25.718162,-122.572871,Night,17.85,9.42,57.48,31.67,9.46,1.66,3,2,1,2,97.28,0.15,0.1,Low
54_109292_POL4052_1540171740_0002,54,107HGBH41JXMN109292,10/22/2018 1:29,10/22/2018 2:09,45.205119,-85.649294,Night,40.34,27.9,54.94,41.5,4.17,1.81,2,0,0,0,86.62,0.11,0.23,Low
54_109292_POL4052_1516521480_0003,54,107HGBH41JXMN109292,1/21/2018 7:58,1/21/2018 8:52,44.792236,-68.5337,Morning,54.13,36.01,53.26,39.92,11.85,3.71,2,2,1,1,87.03,0.12,0.15,Low
54_109292_POL4052_1524524460_0004,54,107HGBH41JXMN109292,4/23/2018 23:01,4/23/2018 23:12,47.302052,-92.786522,Night,11.54,8.28,47.19,43.04,16.08,1.73,2,2,1,1,87.87,0.28,0.23,Low
54_109292_POL4054_1585171380_0005,54,107HGBH41JXMN109292,3/25/2020 21:23,3/25/2020 21:32,47.92951,-115.865894,Night,9.91,6.43,53.67,38.91,10.58,4.8,0,1,0,0,86.73,0.26,0.18,Low
54_109292_POL4054_1602626400_0006,54,107HGBH41JXMN109292,10/13/2020 22:00,10/13/2020 22:38,28.546516,-110.775671,Night,38.18,28.11,48.77,44.17,7.68,2.58,3,0,2,0,89.39,0.21,0.15,Low
54_109293_POL4053_1550687340_0001,54,108HGBH41JXMN109293,2/20/2019 18:29,2/20/2019 18:37,38.232778,-111.366055,Evening,8.23,6.63,46.35,48.37,5.32,1.45,0,2,1,0,93.85,0.17,0.15,Low
54_109293_POL4053_1575025980_0002,54,108HGBH41JXMN109293,11/29/2019 11:13,11/29/2019 12:09,27.239847,-111.301737,Morning,56.57,34.81,48.89,36.92,5.15,2.41,1,0,1,0,89.1,0.15,0.1,Low
10_109204_POL2030_1597353060_0005,10,19HGBH41JXMN109204,8/13/2020 21:11,8/13/2020 21:16,39.780177,-94.864891,Night,5.34,5,102.76,56.14,15.15,24.78,20,13,7,13,30.08,0.7,0.9,High
10_109204_POL2030_1573362420_0006,10,19HGBH41JXMN109204,11/10/2019 5:07,11/10/2019 6:05,40.090227,-103.742693,Morning,58.96,68.41,84.19,69.62,11.42,31.08,8,13,13,9,29.94,0.72,0.85,High
10_109204_POL2030_1593745260_0007,10,19HGBH41JXMN109204,7/3/2020 3:01,7/3/2020 3:46,25.339812,-86.52474,Night,45.29,53.79,99.05,71.26,15.27,29.64,14,8,7,7,49.74,0.85,0.87,High
10_109205_POL2029_1518067440_0001,10,20HGBH41JXMN109205,2/8/2018 5:24,2/8/2018 6:08,28.12506,-113.217588,Morning,44.5,52.5,81.31,70.79,13.15,28.93,20,18,14,12,28.64,0.87,0.74,High
10_109205_POL2029_1535849220_0002,10,20HGBH41JXMN109205,9/2/2018 0:47,9/2/2018 1:08,36.862062,-113.964058,Night,21.37,22.24,109.78,62.45,17.98,25.22,9,11,14,14,25.38,0.9,0.85,High
10_109205_POL2029_1513719180_0003,10,20HGBH41JXMN109205,12/19/2017 21:33,12/19/2017 22:10,33.710676,-67.267302,Night,37.66,34.86,88.54,55.54,13.82,36.8,8,8,9,7,32.73,0.84,0.75,High
10_109205_POL2029_1531993380_0004,10,20HGBH41JXMN109205,7/19/2018 9:43,7/19/2018 10:31,42.512627,-84.440424,Morning,48.72,58.7,85.89,72.29,12.23,19.08,15,16,12,14,30.63,0.78,0.74,High
51_109286_POL4041_1471327740_0001,51,101HGBH41JXMN109286,8/16/2016 6:09,8/16/2016 7:04,45.720628,-68.827685,Morning,55.56,29.99,58.03,32.39,9.36,0.12,1,0,1,2,95.63,0.2,0.25,Low
51_109286_POL4041_1467283800_0002,51,101HGBH41JXMN109286,6/30/2016 10:50,6/30/2016 11:12,40.413828,-118.825905,Morning,22.9,14.77,59.91,38.69,13.23,3.83,1,1,0,0,93.09,0.15,0.16,Low
51_109286_POL4041_1469916240_0003,51,101HGBH41JXMN109286,7/30/2016 22:04,7/30/2016 22:12,27.029498,-103.972119,Night,8.17,6.04,46.14,44.36,17.65,1.68,1,2,1,1,86.04,0.13,0.16,Low
51_109286_POL4041_1464441420_0004,51,101HGBH41JXMN109286,5/28/2016 13:17,5/28/2016 14:03,26.276032,-78.974315,Afternoon,46.65,32.46,47.68,41.75,17.64,1.12,1,2,1,0,90.43,0.27,0.22,Low
51_109286_POL4043_1540580520_0005,51,101HGBH41JXMN109286,10/26/2018 19:02,10/26/2018 19:40,29.664003,-72.451729,Evening,38.02,27.27,51.29,43.04,12.84,4.88,0,0,2,0,87.74,0.24,0.24,Low
